,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
125,LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$63,162,725,675 ",1.34%,0,0,0,Analyze,Lam Research,reports,Semiconductor Equipment,"Fremont, California",6/29/12,707549,1980
126,AON,Aon Plc,Common stocks,Large cap,Financials,"$62,690,919,314 ",0.72%,0,0,0,Analyze,Aon,reports,Insurance Brokers,"London, UK",4/23/96,315293,1982 (1919)
127,OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$62,533,293,451 ",0.58%,0,0,0,Analyze,Occidental Petroleum,reports,Oil & Gas Exploration & Production,"Houston, Texas",12/31/82,797468,1920
128,CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$61,367,232,222 ",4.10%,0,0,0,Analyze,Crown Castle,reports,Specialized REITs,"Houston, Texas",3/14/12,1051470,1994
129,TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$61,323,137,831 ",4.26%,0,0,0,Analyze,Truist,reports,Regional Banks,"Charlotte, North Carolina",12/4/97,92230,1872
130,ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$61,178,159,486 ",1.33%,0,0,0,Analyze,Intercontinental Exchange,reports,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,1571949,2000
131,CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$60,581,424,874 ",0.00%,0,0,0,Analyze,Charter Communications,reports,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993
132,MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$60,326,984,726 ",0.77%,0,0,0,Analyze,Micron Technology,reports,Semiconductors,"Boise, Idaho",9/27/94,723125,1978
133,MET,Metlife Inc,Common stocks,Large cap,Financials,"$60,140,065,613 ",2.56%,0,0,0,Analyze,MetLife,reports,Life & Health Insurance,"New York City, New York",,1099219,1868
134,NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$59,350,983,645 ",1.92%,0,0,0,Analyze,Norfolk Southern Railway,reports,Railroads,"Norfolk, Virginia",3/4/57,702165,1881/1894 (1980)
135,ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$58,845,597,736 ",0.63%,0,0,0,Analyze,Activision Blizzard,reports,Interactive Home Entertainment,"Santa Monica, California",8/31/15,718877,2008
136,PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$57,845,134,544 ",10.66%,0,0,0,Analyze,Pioneer Natural Resources,reports,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357,1997
137,GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$57,438,771,098 ",0.44%,0,0,0,Analyze,General Motors,reports,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858,1908
138,EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$56,561,496,000 ",2.13%,0,0,0,Analyze,Emerson Electric,reports,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,32604,1890
139,FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$56,558,476,948 ",0.94%,0,0,0,Analyze,Freeport-McMoRan,reports,Copper,"Phoenix, Arizona",,831259,1912
140,MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$56,347,091,952 ",2.05%,0,0,0,Analyze,Marathon Petroleum,reports,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295,2009 (1887)
141,MCO,Moodys Corp,Common stocks,Large cap,Financials,"$56,073,856,000 ",0.91%,0,0,0,Analyze,Moody's Corporation,reports,Financial Exchanges & Data,"New York City, New York",,1059556,1909
142,F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$55,610,959,684 ",3.51%,0,0,0,Analyze,Ford Motor Company,reports,Automobile Manufacturers,"Dearborn, Michigan",3/4/57,37996,1903
143,KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$55,373,601,909 ",1.20%,0,0,0,Analyze,KLA Corporation,reports,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
144,KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$54,823,088,094 ",1.95%,0,0,0,Analyze,Keurig Dr Pepper,reports,Soft Drinks,"Burlington, Massachusetts",6/21/22,1418135,1981
145,SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$54,717,795,337 ",0.00%,0,0,0,Analyze,Synopsys,reports,Application Software,"Mountain View, California",3/16/17,883241,1986
146,MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$53,870,027,939 ",0.00%,0,0,0,Analyze,Monster Beverage,reports,Soft Drinks,"Corona, California",6/28/12,865752,2012 (1935)
147,MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$53,841,820,226 ",0.53%,0,0,0,Analyze,McKesson,reports,Health Care Distributors,"Irving, Texas",,927653,1833
148,ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$53,638,819,391 ",0.00%,0,0,0,Analyze,O'Reilly Auto Parts,reports,Specialty Stores,"Springfield, Missouri",3/27/09,898173,1957
149,DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$53,311,622,432 ",0.87%,0,0,0,Analyze,Dollar General,reports,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534,1939
150,SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$52,562,824,961 ",2.68%,0,0,0,Analyze,Sempra Energy,reports,Multi-Utilities,"San Diego, California",,1032208,1998
151,MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$52,289,178,671 ",0.60%,0,0,0,Analyze,Marriott International,reports,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
152,PSA,Public Storage,REITs,Large cap,Real Estate,"$51,897,630,886 ",2.60%,0,0,0,Analyze,Public Storage,reports,Specialized REITs,"Glendale, California",8/19/05,1393311,1972
153,PSX,Phillips 66,Common stocks,Large cap,Energy,"$51,063,184,293 ",3.49%,0,0,0,Analyze,Phillips 66,reports,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,2012 (1917)
154,VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$50,900,638,394 ",2.93%,0,0,0,Analyze,Valero Energy,reports,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
155,GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$50,699,815,223 ",2.43%,0,0,0,Analyze,General Mills,reports,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,40704,1856
156,D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$50,304,824,126 ",4.36%,0,0,0,Analyze,Dominion Energy,reports,Electric Utilities,"Richmond, Virginia",,715957,1983
157,ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$50,165,201,610 ",1.74%,0,0,0,Analyze,ADM,reports,Agricultural Products,"Chicago, Illinois",7/29/81,7084,1902
158,AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$49,577,567,653 ",3.24%,0,0,0,Analyze,American Electric Power,reports,Electric Utilities,"Columbus, Ohio",3/4/57,4904,1906
159,CNC,Centene Corp,Common stocks,Large cap,Health Care,"$48,590,744,256 ",0.00%,0,0,0,Analyze,Centene Corporation,reports,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984
160,CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$48,493,582,480 ",0.00%,0,0,0,Analyze,Cadence Design Systems,reports,Application Software,"San Jose, California",9/18/17,813672,1988
161,AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$48,459,011,135 ",0.00%,0,0,0,Analyze,AutoZone,reports,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,1979
162,KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$48,372,492,176 ",3.99%,0,0,0,Analyze,Kraft Heinz,reports,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,1637459,2015 (1869)
163,APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$48,125,295,450 ",0.98%,0,0,0,Analyze,Amphenol,reports,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
164,EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$47,952,284,302 ",0.00%,0,0,0,Analyze,Edwards Lifesciences,reports,Health Care Equipment,"Irvine, California",4/1/11,1099800,1958
165,HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$47,553,950,400 ",1.66%,0,0,0,Analyze,Hershey's,reports,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/57,47111,1894
166,CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$47,335,095,000 ",0.87%,0,0,0,Analyze,Corteva,reports,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/19,1755672,2019
167,ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$47,164,529,975 ",0.56%,0,0,0,Analyze,Roper Technologies,reports,Electronic Equipment & Instruments,"Sarasota, Florida",12/23/09,882835,1981
168,CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$46,959,634,621 ",0.90%,0,0,0,Analyze,Cintas,reports,Diversified Support Services,"Mason, Ohio",3/1/01,723254,1929
169,FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$46,956,661,466 ",2.09%,0,0,0,Analyze,FedEx,reports,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911,1971
170,AIG,American International Group Inc,Common stocks,Large cap,Financials,"$46,882,038,631 ",2.01%,0,0,0,Analyze,American International Group,reports,Property & Casualty Insurance,"New York City, New York",3/31/80,5272,1919
171,A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$46,217,853,788 ",0.54%,0,0,0,Analyze,Agilent Technologies,reports,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999
172,KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$46,101,420,040 ",3.34%,0,0,0,Analyze,Kimberly-Clark,reports,Household Products,"Irving, Texas",3/4/57,55785,1872
173,JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$45,940,490,174 ",2.06%,0,0,0,Analyze,Johnson Controls,reports,Building Products,"Cork, Ireland",8/27/10,833444,1885
174,DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$45,590,046,494 ",0.00%,0,0,0,Analyze,Dexcom,reports,Health Care Equipment,"San Diego, California",5/12/20,1093557,1999
175,MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$45,442,488,142 ",1.16%,0,0,0,Analyze,Motorola Solutions,reports,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011)
176,PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$45,374,435,918 ",2.38%,0,0,0,Analyze,Paychex,reports,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
177,CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$45,069,815,523 ",0.00%,0,0,0,Analyze,Chipotle Mexican Grill,reports,Restaurants,"Newport Beach, California",4/28/11,1058090,1993
178,NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$44,944,350,465 ",1.77%,0,0,0,Analyze,NXP Semiconductors,reports,Semiconductors,"Eindhoven, Netherlands",3/22/21,1413447,1953
179,AFL,Aflac Inc,Common stocks,Large cap,Financials,"$44,712,815,350 ",2.20%,0,0,0,Analyze,Aflac,reports,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
180,ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$44,667,712,803 ",0.00%,0,0,0,Analyze,Autodesk,reports,Application Software,"San Francisco, California",12/1/89,769397,1982
181,DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$44,634,636,000 ",4.74%,0,0,0,Analyze,Devon Energy,reports,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1090012,1971
182,TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$44,324,490,879 ",1.90%,0,0,0,Analyze,The Travelers Companies,reports,Property & Casualty Insurance,"New York City, New York",8/21/02,86312,1853
183,HES,Hess Corp,Common stocks,Large cap,Energy,"$44,202,184,770 ",0.95%,0,0,0,Analyze,Hess Corporation,reports,Integrated Oil & Gas,"New York City, New York",5/31/84,4447,1919
184,RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$44,161,130,806 ",1.33%,0,0,0,Analyze,Republic Services,reports,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,1998 (1981)
185,SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$43,602,277,937 ",2.21%,0,0,0,Analyze,Sysco,reports,Food Distributors,"Houston, Texas",12/31/86,96021,1969
186,BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$43,466,823,797 ",0.00%,0,0,0,Analyze,Biogen,reports,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978
187,FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$43,423,508,590 ",2.44%,0,0,0,Analyze,FIS,reports,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/06,1136893,1968
188,ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$43,276,775,436 ",1.34%,0,0,0,Analyze,Ecolab,reports,Specialty Chemicals,"Saint Paul, Minnesota",1/31/89,31462,1923
189,FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$43,264,850,289 ",0.00%,0,0,0,Analyze,Fortinet,reports,Systems Software,"Sunnyvale, California",10/11/18,1262039,2000
190,MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$43,076,682,167 ",1.47%,0,0,0,Analyze,Microchip Technology,reports,Semiconductors,"Chandler, Arizona",9/7/07,827054,1989
191,KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$43,044,260,660 ",5.63%,0,0,0,Analyze,Kinder Morgan,reports,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307,1997
192,LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$42,914,885,965 ",1.97%,0,0,0,Analyze,L3Harris,reports,Aerospace & Defense,"Melbourne, Florida",9/22/08,202058,2019 (1895)
193,ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$42,712,940,264 ",0.00%,0,0,0,Analyze,Arista Networks,reports,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
194,ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$42,680,001,608 ",0.00%,0,0,0,Analyze,Enphase,reports,Electronic Components,"Fremont, California",1/7/21,1463101,2006
195,WMB,Williams Inc,Common stocks,Large cap,Energy,"$42,544,426,794 ",4.74%,0,0,0,Analyze,Williams Companies,reports,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,1908
196,AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$42,108,964,800 ",1.02%,0,0,0,Analyze,Arthur J. Gallagher & Co.,reports,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927
197,STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$41,712,002,123 ",1.22%,0,0,0,Analyze,Constellation Brands,reports,Distillers & Vintners,"Victor, New York",7/1/05,16918,1945
198,MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$41,689,388,171 ",0.88%,0,0,0,Analyze,MSCI,reports,Financial Exchanges & Data,"New York City, New York",4/4/18,1408198,1969
199,EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$41,270,106,506 ",3.21%,0,0,0,Analyze,Exelon,reports,Multi-Utilities,"Chicago, Illinois",3/4/57,1109357,2000
200,TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$41,036,154,001 ",1.49%,0,0,0,Analyze,Trane Technologies,reports,Building Products,"Dublin, Ireland",11/17/10,1466258,1871
201,IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$40,964,962,073 ",0.00%,0,0,0,Analyze,IQVIA,reports,Life Sciences Tools & Services,"Durham, North Carolina",8/29/17,1478242,1982
202,ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$40,946,469,498 ",1.02%,0,0,0,Analyze,Ross Stores,reports,Apparel Retail,"Dublin, California",12/21/09,745732,1982
203,TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$40,224,835,388 ",1.71%,0,0,0,Analyze,TE Connectivity,reports,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,2007
204,PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$40,075,560,000 ",4.38%,0,0,0,Analyze,Prudential Financial,reports,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,1875
205,O,Realty Income Corporation,REITs,Large cap,Real Estate,"$39,391,534,009 ",4.63%,0,0,0,Analyze,Realty Income,reports,Retail REITs,"San Diego, California",4/7/15,726728,1969
206,SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$38,909,818,587 ",5.54%,0,0,0,Analyze,Simon Property Group,reports,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,2003
207,NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$38,551,890,165 ",4.46%,0,0,0,Analyze,Newmont,reports,Gold,"Denver, Colorado",6/30/69,1164727,1921
208,HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$38,485,891,219 ",0.32%,0,0,0,Analyze,Hilton Worldwide,reports,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/17,1585689,1919
209,XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$38,411,371,934 ",2.71%,0,0,0,Analyze,Xcel Energy,reports,Multi-Utilities,"Minneapolis, Minnesota",3/4/57,72903,1909
210,NUE,Nucor Corp,Common stocks,Large cap,Materials,"$38,289,148,718 ",1.33%,0,0,0,Analyze,Nucor,reports,Steel,"Charlotte, North Carolina",4/30/85,73309,1940
211,PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$38,203,273,087 ",1.67%,0,0,0,Analyze,Parker Hannifin,reports,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334,1917
212,COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$37,910,302,171 ",2.38%,0,0,0,Analyze,Capital One,reports,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1994
213,CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$37,573,229,869 ",1.33%,0,0,0,Analyze,Carrier Global,reports,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,2020 (1915)
214,BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$36,986,890,466 ",3.06%,0,0,0,Analyze,BNY Mellon,reports,Asset Management & Custody Banks,"New York City, New York",3/31/95,1390777,1784
215,PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$36,845,974,571 ",1.30%,0,0,0,Analyze,Paccar,reports,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362,1905
216,YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$36,391,255,409 ",1.75%,0,0,0,Analyze,Yum! Brands,reports,Restaurants,"Louisville, Kentucky",10/6/97,1041061,1997
217,IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$36,370,723,006 ",0.00%,0,0,0,Analyze,Idexx Laboratories,reports,Health Care Equipment,"Westbrook, Maine",1/5/17,874716,1983
218,EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$36,337,680,399 ",0.69%,0,0,0,Analyze,Electronic Arts,reports,Interactive Home Entertainment,"Redwood City, California",7/22/02,712515,1982
219,DOW,Dow Inc.,Common stocks,Large cap,Materials,"$35,940,985,868 ",5.38%,0,0,0,Analyze,Dow Inc.,reports,Commodity Chemicals,"Midland, Michigan",4/1/19,1751788,2019
220,LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$35,831,755,931 ",0.00%,0,0,0,Analyze,Las Vegas Sands,reports,Casinos & Gaming,"Las Vegas, Nevada",10/3/19,1300514,1988
221,WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$35,725,428,789 ",4.56%,0,0,0,Analyze,Walgreens Boots Alliance,reports,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,2014
223,ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$35,300,097,907 ",1.08%,0,0,0,Analyze,AmerisourceBergen,reports,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/01,1140859,1985
224,AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$35,216,643,665 ",1.47%,0,0,0,Analyze,Ameriprise Financial,reports,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
225,CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$35,151,258,878 ",2.40%,0,0,0,Analyze,Cummins,reports,Industrial Machinery,"Columbus, Indiana",3/31/65,26172,1919
226,ALL,Allstate Corp,Common stocks,Large cap,Financials,"$35,010,315,864 ",2.55%,0,0,0,Analyze,Allstate,reports,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931
227,DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$34,983,877,718 ",1.86%,0,0,0,Analyze,DuPont,reports,Specialty Chemicals,"Wilmington, Delaware",4/2/19,1666700,2017
228,ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$34,741,278,000 ",0.00%,0,0,0,Analyze,Illumina,reports,Life Sciences Tools & Services,"San Diego, California",11/19/15,1110803,1998
229,ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$34,723,329,677 ",3.19%,0,0,0,Analyze,Consolidated Edison,reports,Electric Utilities,"New York City, New York",,1047862,1823
230,KR,Kroger,Common stocks,Large cap,Consumer Staples,"$34,652,183,903 ",1.93%,0,0,0,Analyze,Kroger,reports,Food Retail,"Cincinnati, Ohio",3/4/57,56873,1883
231,TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$34,508,293,605 ",0.00%,0,0,0,Analyze,TransDigm Group,reports,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,1993
232,HAL,Halliburton,Common stocks,Large cap,Energy,"$34,405,892,381 ",1.07%,0,0,0,Analyze,Halliburton,reports,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,45012,1919
233,CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$33,734,940,477 ",0.00%,0,0,0,Analyze,CoStar Group,reports,Research & Consulting Services,"Washington, D.C.",9/19/22,1057352,1987
234,NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$33,647,734,736 ",1.13%,0,0,0,Analyze,"Nasdaq, Inc.",reports,Financial Exchanges & Data,"New York City, New York",10/22/08,1120193,1971
235,RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$33,594,560,291 ",0.75%,0,0,0,Analyze,ResMed,reports,Health Care Equipment,"San Diego, California",7/26/17,943819,1989
236,WELL,Welltower Inc,REITs,Large cap,Real Estate,"$33,544,297,452 ",2.56%,0,0,0,Analyze,Welltower,reports,Health Care REITs,"Toledo, Ohio",1/30/09,766704,1970
237,DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$33,527,842,400 ",0.00%,0,0,0,Analyze,Dollar Tree,reports,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703,1986
238,ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$33,242,815,244 ",0.30%,0,0,0,Analyze,Old Dominion,reports,Trucking,"Thomasville, North Carolina",12/9/19,878927,1934
239,MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$33,225,698,692 ",0.00%,0,0,0,Analyze,Mettler Toledo,reports,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646,1945
240,AME,Ametek Inc,Common stocks,Large cap,Industrials,"$32,907,178,546 ",0.60%,0,0,0,Analyze,Ametek,reports,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
241,OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$32,839,480,450 ",1.40%,0,0,0,Analyze,Otis Worldwide,reports,Industrial Machinery,"Farmington, Connecticut",4/3/20,1781335,2020 (1853)
242,VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$32,610,493,133 ",4.26%,0,0,0,Analyze,Vici Properties,reports,Hotel & Resort REITs,"New York City, New York",6/8/22,1705696,2017
243,SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$32,520,299,701 ",0.94%,0,0,0,Analyze,SBA Communications,reports,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,1989
244,KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$32,447,947,987 ",0.00%,0,0,0,Analyze,Keysight,reports,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014 (1939)
245,ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$32,250,992,660 ",0.57%,0,0,0,Analyze,Albemarle Corporation,reports,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,915913,1994
246,CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$32,181,760,072 ",1.71%,0,0,0,Analyze,Cognizant,reports,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,1994
247,DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$32,116,238,118 ",4.25%,0,0,0,Analyze,Digital Realty,reports,Specialized REITs,"Austin, Texas",5/18/16,1297996,2004
248,ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$31,995,020,166 ",0.00%,0,0,0,Analyze,ON Semiconductor,reports,Semiconductors,"Phoenix, Arizona",6/21/22,1097864,1999
249,PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$31,719,297,094 ",1.78%,0,0,0,Analyze,PPG Industries,reports,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/57,79879,1883
