,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
250,PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$31,083,800,000 ",0.00%,0,0,0,Analyze,PG&E Corporation,reports,Multi-Utilities,"San Francisco, California",10/3/22,1004980,1905
251,CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$30,893,380,541 ",0.60%,0,0,0,Analyze,Constellation Energy,reports,Multi-Utilities,"Baltimore, Maryland",2/2/22,1868275,1999
252,WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$30,688,625,521 ",2.93%,0,0,0,Analyze,WEC Energy Group,reports,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,1896
253,ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$30,634,677,546 ",1.68%,0,0,0,Analyze,Rockwell Automation,reports,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903
254,GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$30,478,240,856 ",1.12%,0,0,0,Analyze,W. W. Grainger,reports,Industrial Machinery,"Lake Forest, Illinois",6/30/81,277135,1927
255,PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$30,136,564,538 ",3.49%,0,0,0,Analyze,Public Service Enterprise Group,reports,Electric Utilities,"Newark, New Jersey",3/4/57,788784,1903
256,HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$30,037,333,434 ",3.31%,0,0,0,Analyze,HP Inc.,reports,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/74,47217,1939 (2015)
257,OKE,Oneok Inc,Common stocks,Large cap,Energy,"$30,035,298,182 ",5.44%,0,0,0,Analyze,ONEOK,reports,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,1906
258,DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$29,854,384,381 ",1.32%,0,0,0,Analyze,D.R. Horton,reports,Homebuilding,"Arlington, Texas",6/22/05,882184,1978
259,FAST,Fastenal,Common stocks,Large cap,Industrials,"$29,531,499,413 ",2.38%,0,0,0,Analyze,Fastenal,reports,Building Products,"Winona, Minnesota",9/15/08,815556,1967
260,BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$29,302,940,484 ",2.47%,0,0,0,Analyze,Baker Hughes,reports,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017
261,ES,Eversource Energy,Common stocks,Large cap,Utilities,"$29,226,475,277 ",2.97%,0,0,0,Analyze,Eversource,reports,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966
262,VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$29,110,053,013 ",0.65%,0,0,0,Analyze,Verisk,reports,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,1971
263,DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$29,106,740,745 ",2.14%,0,0,0,Analyze,Discover Financial,reports,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,1985
264,MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$29,054,277,894 ",2.83%,0,0,0,Analyze,M&T Bank,reports,Regional Banks,"Buffalo, New York",2/23/04,36270,1856
265,GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$28,960,581,514 ",3.12%,0,0,0,Analyze,Corning Inc.,reports,Electronic Components,"Corning, New York",,24741,1851
266,STT,State Street Corp,Common stocks,Large cap,Financials,"$28,885,528,372 ",2.93%,0,0,0,Analyze,State Street Corporation,reports,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
267,APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$28,501,186,215 ",0.00%,0,0,0,Analyze,Aptiv,reports,Auto Parts & Equipment,"Dublin, Ireland",12/24/12,1521332,1994
268,TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$28,400,142,957 ",3.63%,0,0,0,Analyze,T. Rowe Price,reports,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
269,WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$28,242,245,654 ",0.00%,0,0,0,Analyze,Warner Bros. Discovery,reports,Broadcasting,"New York City, New York",4/11/22,1437107,2022
270,IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$28,154,015,863 ",0.00%,0,0,0,Analyze,Gartner,reports,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,749251,1979
271,AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$28,003,310,875 ",1.66%,0,0,0,Analyze,American Water Works,reports,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886
272,GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$27,994,630,645 ",0.96%,0,0,0,Analyze,Global Payments,reports,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/16,1123360,2000
273,LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$27,560,852,009 ",5.46%,0,0,0,Analyze,LyondellBasell,reports,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,1489393,2007
274,IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$27,214,670,885 ",2.95%,0,0,0,Analyze,International Flavors & Fragrances,reports,Specialty Chemicals,"New York City, New York",3/31/76,51253,1958 (1889)
275,WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$26,692,479,715 ",1.32%,0,0,0,Analyze,Willis Towers Watson,reports,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,2016
276,BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$26,405,845,356 ",2.18%,0,0,0,Analyze,Baxter International,reports,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
277,GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$26,100,733,430 ",1.92%,0,0,0,Analyze,Genuine Parts Company,reports,Specialty Stores,"Atlanta, Georgia",12/31/73,40987,1925
278,HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$25,993,543,974 ",2.17%,0,0,0,Analyze,Hormel Foods,reports,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,48465,1891
279,CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$25,888,109,668 ",1.09%,0,0,0,Analyze,CDW,reports,Technology Distributors,"Lincolnshire, Illinois",9/23/19,1402057,1984
280,ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$25,885,292,553 ",0.78%,0,0,0,Analyze,Zimmer Biomet,reports,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,1927
281,FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$25,466,994,092 ",1.91%,0,0,0,Analyze,Diamondback Energy,reports,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,1539838,2007
282,ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$25,412,196,434 ",2.97%,0,0,0,Analyze,Alexandria Real Estate Equities,reports,Office REITs,"Pasadena, California",3/20/17,1035443,1994
283,RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$25,250,616,102 ",1.15%,0,0,0,Analyze,Raymond James,reports,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,1962
284,LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$25,133,450,704 ",1.69%,0,0,0,Analyze,Lennar,reports,Homebuilding,"Miami, Florida",10/4/05,920760,1954
285,CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$25,130,546,713 ",0.00%,0,0,0,Analyze,CBRE Group,reports,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906
286,EIX,Edison International,Common stocks,Large cap,Utilities,"$25,020,428,640 ",4.20%,0,0,0,Analyze,Edison International,reports,Electric Utilities,"Rosemead, California",3/4/57,827052,1886
287,K,Kellogg,Common stocks,Large cap,Consumer Staples,"$24,896,052,000 ",3.16%,0,0,0,Analyze,Kellogg's,reports,Packaged Foods & Meats,"Battle Creek, Michigan",9/11/89,55067,1906
288,TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$24,813,358,724 ",1.63%,0,0,0,Analyze,Tractor Supply,reports,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,1938
289,EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$24,764,183,515 ",0.77%,0,0,0,Analyze,Equifax,reports,Research & Consulting Services,"Atlanta, Georgia",6/19/97,33185,1899
290,URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$24,702,928,798 ",0.00%,0,0,0,Analyze,United Rentals,reports,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,1997
291,FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$24,552,390,858 ",3.39%,0,0,0,Analyze,Fifth Third Bank,reports,Regional Banks,"Cincinnati, Ohio",,35527,1858
292,EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$24,506,484,369 ",1.94%,0,0,0,Analyze,eBay,reports,Internet & Direct Marketing Retail,"San Jose, California",7/22/02,1065088,1995
293,EQR,Equity Residential,REITs,Large cap,Real Estate,"$24,432,458,178 ",3.78%,0,0,0,Analyze,Equity Residential,reports,Residential REITs,"Chicago, Illinois",12/3/01,906107,1969
294,VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$24,432,269,177 ",0.87%,0,0,0,Analyze,Vulcan Materials Company,reports,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,1909
295,AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$24,367,320,597 ",3.61%,0,0,0,Analyze,AvalonBay Communities,reports,Residential REITs,"Arlington, Virginia",1/10/07,915912,1978
296,ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$24,203,694,450 ",0.00%,0,0,0,Analyze,Ulta Beauty,reports,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,1990
297,HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$24,057,822,000 ",2.07%,0,0,0,Analyze,Hartford (The),reports,Property & Casualty Insurance,"Hartford, Connecticut",3/4/57,874766,1810
298,FTV,Fortive Corp,Common stocks,Large cap,Industrials,"$24,020,042,296 ",0.41%,0,0,0,Analyze,Fortive,reports,Industrial Machinery,"Everett, Washington",7/1/16,1659166,2016
299,LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$23,797,580,320 ",0.00%,0,0,0,Analyze,Southwest Airlines,reports,Airlines,"Dallas, Texas",7/1/94,92380,1967
300,WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$23,755,400,760 ",2.21%,0,0,0,Analyze,Weyerhaeuser,reports,Specialized REITs,"Seattle, Washington",,106535,1900
301,ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$23,665,149,658 ",3.44%,0,0,0,Analyze,Entergy,reports,Electric Utilities,"New Orleans, Louisiana",3/4/57,65984,1913
302,FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$23,659,147,209 ",3.71%,0,0,0,Analyze,FirstEnergy,reports,Electric Utilities,"Akron, Ohio",,1031296,1997
303,TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$23,548,572,400 ",2.82%,0,0,0,Analyze,Tyson Foods,reports,Packaged Foods & Meats,"Springdale, Arkansas",8/10/05,100493,1935
304,MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$22,996,028,924 ",1.71%,0,0,0,Analyze,McCormick & Company,reports,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/03,63754,1889
305,AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$22,930,916,390 ",2.60%,0,0,0,Analyze,Ameren,reports,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
307,MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$22,686,697,774 ",0.69%,0,0,0,Analyze,Martin Marietta Materials,reports,Construction Materials,"Raleigh, North Carolina",7/2/14,916076,1993
308,DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$22,685,244,248 ",0.00%,0,0,0,Analyze,Delta Air Lines,reports,Airlines,"Atlanta, Georgia",9/11/13,27904,1929
309,ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$22,615,207,328 ",0.00%,0,0,0,Analyze,Ansys,reports,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
310,DTE,DTE Energy,Common stocks,Large cap,Utilities,"$22,497,319,995 ",3.02%,0,0,0,Analyze,DTE Energy,reports,Multi-Utilities,"Detroit, Michigan",3/4/57,936340,1995
311,HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"$22,492,227,035 ",3.91%,0,0,0,Analyze,Huntington Bancshares,reports,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866
312,PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$22,246,559,267 ",2.78%,0,0,0,Analyze,Principal Financial Group,reports,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,1879
313,ACGL,Arch Capital Group Ltd,Common stocks,Large cap,Financials,"$22,103,612,094 ",0.00%,0,0,0,Analyze,Arch Capital Group,reports,Reinsurance,"Hamilton, Bermuda",11/1/22,947484,1995
314,IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$21,983,418,587 ",0.15%,0,0,0,Analyze,Ingersoll Rand,reports,Industrial Machinery,"Davidson, North Carolina",3/3/20,1699150,1859
315,VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$21,687,786,404 ",0.00%,0,0,0,Analyze,Verisign,reports,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,1995
316,PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$21,682,392,400 ",0.18%,0,0,0,Analyze,Quanta Services,reports,Construction & Engineering,"Houston, Texas",7/1/09,1050915,1997
317,HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$21,642,309,071 ",2.82%,0,0,0,Analyze,Hewlett Packard Enterprise,reports,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/15,1645590,2015
318,CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$21,627,659,438 ",2.13%,0,0,0,Analyze,Coterra,reports,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,2021 (1989)
319,PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$21,566,762,538 ",3.59%,0,0,0,Analyze,PPL Corporation,reports,Electric Utilities,"Allentown, Pennsylvania",,922224,1920
320,RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$21,482,904,482 ",2.33%,0,0,0,Analyze,Regions Financial Corporation,reports,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,1971
321,EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$21,434,140,556 ",3.55%,0,0,0,Analyze,Extra Space Storage,reports,Specialized REITs,"Salt Lake City, Utah",1/19/16,1289490,1977
322,LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$21,420,822,000 ",0.89%,0,0,0,Analyze,LabCorp,reports,Health Care Services,"Burlington, North Carolina",11/1/04,920148,1978
323,EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$21,256,985,165 ",0.00%,0,0,0,Analyze,EPAM Systems,reports,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/21,1352010,1993
324,PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$20,780,252,155 ",0.00%,0,0,0,Analyze,Paycom,reports,Application Software,"Oklahoma City, Oklahoma",1/28/20,1590955,1998
325,CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$20,776,745,041 ",2.46%,0,0,0,Analyze,Cardinal Health,reports,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971
326,CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$20,674,770,753 ",3.80%,0,0,0,Analyze,Citizens Financial Group,reports,Regional Banks,"Providence, Rhode Island",1/29/16,759944,1828
327,WAT,Waters Corp,Common stocks,Large cap,Health Care,"$20,610,269,995 ",0.00%,0,0,0,Analyze,Waters Corporation,reports,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
328,XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$20,509,210,342 ",1.05%,0,0,0,Analyze,Xylem Inc.,reports,Industrial Machinery,"White Plains, New York",11/1/11,1524472,2011
329,CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$20,333,075,945 ",1.44%,0,0,0,Analyze,CF Industries,reports,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946
330,CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$20,055,732,857 ",1.27%,0,0,0,Analyze,Church & Dwight,reports,Household Products,"Ewing, New Jersey",12/29/15,313927,1847
331,DOV,Dover Corp,Common stocks,Large cap,Industrials,"$19,999,034,336 ",1.40%,0,0,0,Analyze,Dover Corporation,reports,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905,1955
332,WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$19,993,006,673 ",0.49%,0,0,0,Analyze,Berkley,reports,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,11544,1967
333,TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$19,894,435,424 ",0.00%,0,0,0,Analyze,Teledyne Technologies,reports,Electronic Equipment & Instruments,"Thousand Oaks, California",6/22/20,1094285,1960
334,ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$19,890,961,690 ",1.06%,0,0,0,Analyze,"Rollins, Inc.",reports,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948
335,INVH,Invitation Homes Inc,REITs,Large cap,Real Estate,"$19,779,110,556 ",2.69%,0,0,0,Analyze,Invitation Homes,reports,Residential REITs,"Dallas, Texas",9/19/22,1687229,2012
336,MOH,Molina Healthcare Inc,Common stocks,Large cap,Health Care,"$19,554,072,000 ",0.00%,0,0,0,Analyze,Molina Healthcare,reports,Managed Health Care,"Long Beach, California",3/2/22,1179929,1980
337,CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$19,534,490,630 ",2.24%,0,0,0,Analyze,CenterPoint Energy,reports,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882
338,NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$19,513,959,463 ",3.01%,0,0,0,Analyze,Northern Trust,reports,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
339,BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$19,467,060,881 ",3.80%,0,0,0,Analyze,Best Buy,reports,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966
340,STE,STERIS PLC,Common stocks,Large cap,Health Care,"$19,196,952,091 ",0.93%,0,0,0,Analyze,Steris,reports,Health Care Equipment,"Dublin, Ireland",12/23/19,1757898,1985
341,AES,AES Corp,Common stocks,Large cap,Utilities,"$19,183,517,624 ",2.18%,0,0,0,Analyze,AES Corporation,reports,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
342,MRO,Marathon Oil Corp,Common stocks,Large cap,Energy,"$19,109,191,306 ",1.06%,0,0,0,Analyze,Marathon Oil,reports,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778,1887
343,MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$18,963,635,896 ",2.82%,0,0,0,Analyze,Mid-America Apartment Communities,reports,Residential REITs,"Memphis, Tennessee",12/2/16,912595,1977
344,JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$18,927,676,299 ",0.87%,0,0,0,Analyze,J.B. Hunt,reports,Trucking,"Lowell, Arkansas",7/1/15,728535,1961
345,HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$18,926,741,105 ",0.00%,0,0,0,Analyze,Hologic,reports,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,859737,1985
346,WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$18,739,664,707 ",0.58%,0,0,0,Analyze,Wabtec,reports,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2/27/19,943452,1999 (1869)
347,VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$18,534,922,964 ",3.83%,0,0,0,Analyze,Ventas,reports,Health Care REITs,"Chicago, Illinois",3/4/09,740260,1998
348,CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$18,490,445,678 ",3.08%,0,0,0,Analyze,Clorox,reports,Household Products,"Oakland, California",3/31/69,21076,1913
349,AMCR,Amcor plc,Common stocks,Large cap,Materials,"$18,434,062,103 ",3.84%,0,0,0,Analyze,Amcor,reports,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/19,1748790,2019 (1860)
350,EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$18,340,468,256 ",1.16%,0,0,0,Analyze,Expeditors International,reports,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,1979
351,IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$18,156,877,781 ",0.97%,0,0,0,Analyze,IDEX Corporation,reports,Industrial Machinery,"Lake Forest, Illinois",8/9/19,832101,1988
352,CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$18,130,216,915 ",3.35%,0,0,0,Analyze,Conagra Brands,reports,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,1919
353,GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$18,085,408,718 ",2.93%,0,0,0,Analyze,Garmin,reports,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1121788,1989
354,FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$17,988,454,611 ",0.74%,0,0,0,Analyze,FactSet,reports,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/21,1013237,1978
355,INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,949,320,758 ",0.00%,0,0,0,Analyze,Incyte,reports,Biotechnology,"Wilmington, Delaware",2/28/17,879169,1991
356,MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$17,935,129,940 ",0.74%,0,0,0,Analyze,Monolithic Power Systems,reports,Semiconductors,"Kirkland, Washington",2/12/21,1280452,1997
357,WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$17,917,463,514 ",0.30%,0,0,0,Analyze,West Pharmaceutical Services,reports,Health Care Supplies,"Exton, Pennsylvania",5/22/20,105770,1923
359,TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$17,855,955,006 ",0.00%,0,0,0,Analyze,Take-Two Interactive,reports,Interactive Home Entertainment,"New York City, New York",3/19/18,946581,1993
360,DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$17,825,675,143 ",3.13%,0,0,0,Analyze,Darden Restaurants,reports,Restaurants,"Orlando, Florida",,940944,1938
361,CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$17,824,350,879 ",2.96%,0,0,0,Analyze,CMS Energy,reports,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,1886
362,BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$17,631,826,705 ",1.75%,0,0,0,Analyze,Broadridge Financial Solutions,reports,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
363,BALL,Ball Corporation,Common stocks,Large cap,Materials,"$17,532,440,378 ",1.43%,0,0,0,Analyze,Ball Corporation,reports,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,1880
364,ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$17,519,694,367 ",0.00%,0,0,0,Analyze,Etsy,reports,Internet & Direct Marketing Retail,"New York City, New York",9/21/20,1370637,2005
365,J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$17,485,555,712 ",0.68%,0,0,0,Analyze,Jacobs Solutions,reports,Construction & Engineering,"Dallas, Texas",10/26/07,52988,1947
366,CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$17,466,320,305 ",2.41%,0,0,0,Analyze,Cincinnati Financial,reports,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,1950
367,KEY,Keycorp,Common stocks,Large cap,Financials,"$17,465,190,781 ",4.15%,0,0,0,Analyze,KeyCorp,reports,Regional Banks,"Cleveland, Ohio",3/1/94,91576,1825
368,DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$17,380,366,186 ",1.69%,0,0,0,Analyze,Quest Diagnostics,reports,Health Care Services,"Secaucus, New Jersey",12/12/02,1022079,1967
370,FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$16,983,265,470 ",1.61%,0,0,0,Analyze,Fox Corporation (Class B),reports,Movies & Entertainment,"New York City, New York",9/18/15,1754301,2019
371,FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$16,983,265,470 ",1.52%,0,0,0,Analyze,Fox Corporation (Class A),reports,Movies & Entertainment,"New York City, New York",7/1/13,1754301,2019
372,LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$16,981,215,100 ",0.00%,0,0,0,Analyze,Live Nation Entertainment,reports,Movies & Entertainment,"Beverly Hills, California",12/23/19,1335258,2010
373,TRGP,Targa Resources Corp,Common stocks,Large cap,Energy,"$16,966,835,256 ",1.85%,0,0,0,Analyze,Targa Resources,reports,Oil & Gas Storage & Transportation,"Houston, Texas",10/12/22,1389170,2005
374,MOS,Mosaic,Common stocks,Large cap,Materials,"$16,717,618,769 ",1.14%,0,0,0,Analyze,The Mosaic Company,reports,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/11,1285785,2004 (1865 / 1909)
375,BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$16,687,461,864 ",0.72%,0,0,0,Analyze,Brown & Brown,reports,Insurance Brokers,"Daytona Beach, Florida",9/20/21,79282,1939
