,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
376,ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$16,554,408,674 ",2.36%,0,0,0,Analyze,Atmos Energy,reports,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906
377,SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$16,532,027,179 ",0.00%,0,0,0,Analyze,SolarEdge,reports,Semiconductor Equipment,"Herzliya, Israel",12/20/21,1419612,2006
378,SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$16,403,437,689 ",2.57%,0,0,0,Analyze,The J.M. Smucker Company,reports,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,1897
379,FMC,FMC Corp,Common stocks,Large cap,Materials,"$16,379,348,968 ",1.62%,0,0,0,Analyze,FMC Corporation,reports,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785,1883
380,OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$16,284,741,982 ",3.45%,0,0,0,Analyze,Omnicom Group,reports,Advertising,"New York City, New York",,29989,1986
381,SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$16,192,458,922 ",2.48%,0,0,0,Analyze,Synchrony Financial,reports,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,2003
382,COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$16,117,385,621 ",0.02%,0,0,0,Analyze,CooperCompanies,reports,Health Care Supplies,"San Ramon, California",9/23/16,711404,1958
383,CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$16,110,141,884 ",0.00%,0,0,0,Analyze,Copart,reports,Diversified Support Services,"Dallas, Texas",7/2/18,900075,1982
384,CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$16,064,052,549 ",2.73%,0,0,0,Analyze,Campbell Soup Company,reports,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869
385,EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$15,949,607,224 ",0.00%,0,0,0,Analyze,Expedia Group,reports,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/07,1324424,1996
386,IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$15,925,314,947 ",4.44%,0,0,0,Analyze,Iron Mountain,reports,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,1951
387,HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$15,890,679,341 ",0.26%,0,0,0,Analyze,Howmet Aerospace,reports,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/31/64,4281,2016
388,ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$15,760,729,061 ",0.00%,0,0,0,Analyze,Align Technology,reports,Health Care Supplies,"Tempe, Arizona",6/19/17,1097149,1997
389,AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$15,640,784,434 ",1.13%,0,0,0,Analyze,Avery Dennison,reports,Paper Packaging,"Glendale, California",12/31/87,8818,1990
390,RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$15,543,136,534 ",0.00%,0,0,0,Analyze,Royal Caribbean Group,reports,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,1997
391,GEN,Gen Digital Inc.,Common stocks,Large cap,Information Technology,"$15,476,310,773 ",2.10%,0,0,0,Analyze,Gen Digital Inc.,reports,Application Software,"Tempe, Arizona",3/25/03,849399,1982
392,EQT,EQT Corporation,Common stocks,Large cap,Energy,"$15,239,750,128 ",1.32%,0,0,0,Analyze,EQT,reports,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/22,33213,1888
393,SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$15,210,496,248 ",2.46%,0,0,0,Analyze,Skyworks Solutions,reports,Semiconductors,"Irvine, California",3/12/15,4127,2002
394,NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$15,148,056,956 ",0.00%,0,0,0,Analyze,"NVR, Inc.",reports,Homebuilding,"Reston, Virginia",9/26/19,906163,1980
395,TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$15,073,701,114 ",0.00%,0,0,0,Analyze,Trimble Inc.,reports,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/21,864749,1978
396,APA,Apache Corp,Common stocks,Large cap,Energy,"$15,021,031,343 ",1.33%,0,0,0,Analyze,APA Corporation,reports,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,1841666,1954
397,LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$14,983,909,238 ",1.31%,0,0,0,Analyze,Leidos,reports,Diversified Support Services,"Reston, Virginia",8/9/19,1336920,1969
398,PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$14,976,501,328 ",0.00%,0,0,0,Analyze,PTC,reports,Application Software,"Boston, Massachusetts",4/20/21,857005,1985
399,AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$14,969,466,198 ",0.00%,0,0,0,Analyze,Akamai,reports,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998
400,NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$14,796,083,539 ",2.91%,0,0,0,Analyze,NetApp,reports,"Technology Hardware, Storage & Peripherals","San Jose, California",6/25/99,1002047,1992
401,TXT,Textron Inc,Common stocks,Large cap,Industrials,"$14,793,546,506 ",0.11%,0,0,0,Analyze,Textron,reports,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,1923
402,LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$14,715,998,174 ",1.85%,0,0,0,Analyze,LKQ Corporation,reports,Distributors,"Chicago, Illinois",5/23/16,1065696,1998
403,TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$14,666,821,273 ",0.00%,0,0,0,Analyze,Tyler Technologies,reports,Application Software,"Plano, Texas",6/22/20,860731,1966
404,FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$14,476,113,613 ",0.00%,0,0,0,Analyze,Fleetcor,reports,Data Processing & Outsourced Services,"Atlanta, Georgia",6/20/18,1175454,2000
405,TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$14,374,734,714 ",0.48%,0,0,0,Analyze,Teradyne,reports,Semiconductor Equipment,"North Reading, Massachusetts",9/21/20,97210,1960
406,UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$14,340,824,795 ",0.00%,0,0,0,Analyze,United Airlines Holdings,reports,Airlines,"Chicago, Illinois",9/3/15,100517,1967
407,MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$14,312,436,432 ",0.03%,0,0,0,Analyze,MGM Resorts,reports,Casinos & Gaming,"Paradise, Nevada",7/26/17,789570,1986
408,ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$14,240,010,797 ",3.90%,0,0,0,Analyze,Essex Property Trust,reports,Residential REITs,"San Mateo, California",4/2/14,920522,1971
409,PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$14,056,674,766 ",4.51%,0,0,0,Analyze,Healthpeak,reports,Health Care REITs,"Long Beach, California",3/31/08,765880,1985
410,KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$14,008,137,777 ",3.40%,0,0,0,Analyze,Kimco Realty,reports,Retail REITs,"New Hyde Park, New York",4/4/06,879101,1958
411,MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$13,954,133,056 ",0.00%,0,0,0,Analyze,Match Group,reports,Interactive Media & Services,"Dallas, Texas",9/20/21,891103,1986
412,LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$13,939,242,220 ",3.04%,0,0,0,Analyze,Alliant Energy,reports,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
413,JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$13,913,645,356 ",1.02%,0,0,0,Analyze,Jack Henry & Associates,reports,Data Processing & Outsourced Services,"Monett, Missouri",11/13/18,779152,1976
414,ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$13,879,122,298 ",0.00%,0,0,0,Analyze,Zebra Technologies,reports,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/19,877212,1969
415,L,Loews Corp,Common stocks,Large cap,Financials,"$13,780,266,098 ",0.43%,0,0,0,Analyze,Loews Corporation,reports,Multi-line Insurance,"New York City, New York",,60086,1959
416,NDSN,Nordson Corp,Common stocks,Large cap,Industrials,"$13,731,139,147 ",0.91%,0,0,0,Analyze,Nordson Corporation,reports,Industrial Machinery,"Westlake, Ohio",2/15/22,72331,1935
417,DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$13,649,292,555 ",1.09%,0,0,0,Analyze,Domino's,reports,Restaurants,"Ann Arbor, Michigan",5/12/20,1286681,1960
418,VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$13,630,574,882 ",4.20%,0,0,0,Analyze,Viatris,reports,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/04,1792044,1961
419,BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$13,627,958,035 ",4.18%,0,0,0,Analyze,Franklin Templeton,reports,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
420,EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$13,515,102,349 ",3.90%,0,0,0,Analyze,Evergy,reports,Electric Utilities,"Kansas City, Missouri",6/5/18,1711269,1909
422,CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$13,453,341,434 ",1.54%,0,0,0,Analyze,Cboe Global Markets,reports,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973
423,IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$13,388,561,782 ",3.32%,0,0,0,Analyze,The Interpublic Group of Companies,reports,Advertising,"New York City, New York",10/1/92,51644,1961 (1930)
424,HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$13,363,868,853 ",1.12%,0,0,0,Analyze,Host Hotels & Resorts,reports,Hotel & Resort REITs,"Bethesda, Maryland",3/20/07,1070750,1993
425,UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$13,308,147,966 ",3.63%,0,0,0,Analyze,"UDR, Inc.",reports,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,1972
426,IP,International Paper,Common stocks,Large cap,Materials,"$13,298,501,637 ",4.86%,0,0,0,Analyze,International Paper,reports,Paper Packaging,"Memphis, Tennessee",3/4/57,51434,1898
427,POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$13,204,185,464 ",1.12%,0,0,0,Analyze,Pool Corporation,reports,Distributors,"Covington, Louisiana",10/7/20,945841,1993
428,PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$13,202,936,369 ",4.72%,0,0,0,Analyze,Paramount Global,reports,Movies & Entertainment,"New York City, New York",,813828,2019 (1952)
429,VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$13,009,192,526 ",5.88%,0,0,0,Analyze,VF Corporation,reports,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/79,103379,1899
430,RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$12,937,777,332 ",1.95%,0,0,0,Analyze,Everest Re,reports,Reinsurance,"Hamilton, Bermuda",6/19/17,1095073,1973
431,SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$12,870,864,287 ",2.41%,0,0,0,Analyze,Snap-on,reports,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,91440,1920
432,CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$12,729,034,902 ",3.02%,0,0,0,Analyze,Camden Property Trust,reports,Residential REITs,"Houston, Texas",4/4/22,906345,1981
433,PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$12,599,494,797 ",3.26%,0,0,0,Analyze,Packaging Corporation of America,reports,Paper Packaging,"Lake Forest, Illinois",7/26/17,75677,1959
434,LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"$12,442,837,458 ",1.13%,0,0,0,Analyze,Lamb Weston,reports,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,1679273,2016 (1950)
435,BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$12,399,778,187 ",0.00%,0,0,0,Analyze,Bio-Rad,reports,Life Sciences Tools & Services,"Hercules, California",6/22/20,12208,1952
436,SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$12,178,567,824 ",3.81%,0,0,0,Analyze,Stanley Black & Decker,reports,Industrial Machinery,"New Britain, Connecticut",9/30/82,93556,1843
437,GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$11,712,308,274 ",0.68%,0,0,0,Analyze,Globe Life,reports,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,1900
438,MAS,Masco Corp,Common stocks,Large cap,Industrials,"$11,673,387,406 ",2.15%,0,0,0,Analyze,Masco,reports,Building Products,"Livonia, Michigan",6/30/81,62996,1929
439,CE,Celanese Corporation,Common stocks,Large cap,Materials,"$11,654,933,352 ",2.52%,0,0,0,Analyze,Celanese,reports,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,1918
440,CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$11,626,164,154 ",2.81%,0,0,0,Analyze,C.H. Robinson,reports,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905
441,CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$11,508,751,987 ",0.00%,0,0,0,Analyze,Charles River Laboratories,reports,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1100682,1947
442,TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$11,482,695,288 ",0.55%,0,0,0,Analyze,Teleflex,reports,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943
443,WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$11,384,586,573 ",0.00%,0,0,0,Analyze,Western Digital,reports,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/09,106040,1970
444,NI,Nisource Inc,Common stocks,Large cap,Utilities,"$11,270,227,991 ",3.34%,0,0,0,Analyze,NiSource,reports,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
445,HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$11,243,671,346 ",0.00%,0,0,0,Analyze,Henry Schein,reports,Health Care Distributors,"Melville, New York",3/17/15,1000228,1932
446,REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,237,629,022 ",3.75%,0,0,0,Analyze,Regency Centers,reports,Retail REITs,"Jacksonville, Florida",3/2/17,910606,1963
447,BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$11,231,475,115 ",5.38%,0,0,0,Analyze,Boston Properties,reports,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970
448,STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"$11,126,908,000 ",5.17%,0,0,0,Analyze,Seagate Technology,reports,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,1979
449,CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$11,123,106,883 ",0.00%,0,0,0,Analyze,Caesars Entertainment,reports,Casinos & Gaming,"Reno, Nevada",3/22/21,1590895,1973
450,CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$11,093,686,846 ",0.00%,0,0,0,Analyze,Carnival,reports,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972
451,NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$11,081,213,194 ",1.03%,0,0,0,Analyze,News Corp (Class B),reports,Publishing,"New York City, New York",9/18/15,1564708,2013 (1980)
452,NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$11,081,213,194 ",1.04%,0,0,0,Analyze,News Corp (Class A),reports,Publishing,"New York City, New York",8/1/13,1564708,2013 (1980)
453,KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$10,918,870,428 ",0.00%,0,0,0,Analyze,CarMax,reports,Automotive Retail,"Richmond, Virginia",6/28/10,1170010,1993
454,CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$10,802,799,120 ",0.00%,0,0,0,Analyze,Ceridian,reports,Application Software,"Minneapolis, Minnesota",9/20/21,1725057,1992
455,JNPR,Juniper Networks Inc,Common stocks,Large cap,Information Technology,"$10,684,367,817 ",2.53%,0,0,0,Analyze,Juniper Networks,reports,Communications Equipment,"Sunnyvale, California",6/2/06,1043604,1996
456,EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$10,369,567,257 ",3.47%,0,0,0,Analyze,Eastman Chemical Company,reports,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389,1920
457,PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$10,286,060,539 ",1.32%,0,0,0,Analyze,PulteGroup,reports,Homebuilding,"Atlanta, Georgia",4/30/84,822416,1956
458,MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$10,285,014,621 ",1.02%,0,0,0,Analyze,MarketAxess,reports,Financial Exchanges & Data,"New York City, New York",7/1/19,1278021,2000
459,ALLE,Allegion PLC,Common stocks,Large cap,Industrials,"$10,019,580,397 ",1.39%,0,0,0,Analyze,Allegion,reports,Building Products,"New York City, New York",12/2/13,1579241,1908
460,BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,989,006,654 ",1.59%,0,0,0,Analyze,BorgWarner,reports,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880
461,BBWI,"Bath & Body Works, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$9,881,756,653 ",1.83%,0,0,0,Analyze,"Bath & Body Works, Inc.",reports,Specialty Stores,"Columbus, Ohio",9/30/83,701985,1963
462,QRVO,"Qorvo, Inc.",Common stocks,Mid cap,Information Technology,"$9,860,126,249 ",0.00%,0,0,0,Analyze,Qorvo,reports,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,2015
463,NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$9,706,086,557 ",3.28%,0,0,0,Analyze,NRG Energy,reports,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/10,1013871,1992
464,WRK,Westrock,Common stocks,Mid cap,Materials,"$9,674,720,786 ",2.67%,0,0,0,Analyze,WestRock,reports,Paper Packaging,"Atlanta, Georgia",,1732845,2015
465,WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$9,522,874,188 ",0.00%,0,0,0,Analyze,Wynn Resorts,reports,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,2002
466,UHS,Universal Health Services Inc.,Common stocks,Mid cap,Health Care,"$9,500,726,810 ",0.61%,0,0,0,Analyze,Universal Health Services,reports,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,1979
467,CTLT,Catalent Inc,Common stocks,Mid cap,Health Care,"$9,399,498,253 ",0.00%,0,0,0,Analyze,Catalent,reports,Pharmaceuticals,"Somerset, New Jersey",9/21/20,1596783,2007
468,CMA,Comerica Inc,Common stocks,Mid cap,Financials,"$9,377,502,725 ",3.75%,0,0,0,Analyze,Comerica,reports,Diversified Banks,"Dallas, Texas",12/1/95,28412,1849
469,FFIV,F5 Networks Inc,Common stocks,Mid cap,Information Technology,"$9,358,945,608 ",0.00%,0,0,0,Analyze,"F5, Inc.",reports,Communications Equipment,"Seattle, Washington",12/20/10,1048695,1996
470,TPR,Tapestry,Common stocks,Mid cap,Consumer Discretionary,"$9,272,190,862 ",2.06%,0,0,0,Analyze,"Tapestry, Inc.",reports,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017
471,AOS,A O Smith Corp,Common stocks,Mid cap,Industrials,"$9,239,863,873 ",1.87%,0,0,0,Analyze,A. O. Smith,reports,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
472,HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$9,213,726,462 ",2.05%,0,0,0,Analyze,Huntington Ingalls Industries,reports,Aerospace & Defense,"Newport News, Virginia",1/3/18,1501585,2011
473,AAP,Advance Auto Parts Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,095,889,561 ",3.59%,0,0,0,Analyze,Advance Auto Parts,reports,Automotive Retail,"Raleigh, North Carolina",7/9/15,1158449,1932
474,AAL,American Airlines Group Inc,Common stocks,Mid cap,Industrials,"$9,085,614,400 ",0.00%,0,0,0,Analyze,American Airlines Group,reports,Airlines,"Fort Worth, Texas",3/23/15,6201,1934
475,FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$8,853,457,401 ",2.93%,0,0,0,Analyze,Federal Realty,reports,Retail REITs,"Rockville, Maryland",2/1/16,34903,1962
476,IVZ,Invesco Ltd,Common stocks,Mid cap,Financials,"$8,836,464,933 ",3.67%,0,0,0,Analyze,Invesco,reports,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,1935
477,PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,802,307,793 ",4.31%,0,0,0,Analyze,Pinnacle West,reports,Multi-Utilities,"Phoenix, Arizona",,764622,1985
478,HAS,Hasbro Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,737,074,054 ",4.33%,0,0,0,Analyze,Hasbro,reports,Leisure Products,"Pawtucket, Rhode Island",9/30/84,46080,1923
479,RHI,Robert Half,Common stocks,Mid cap,Industrials,"$8,514,965,105 ",2.17%,0,0,0,Analyze,Robert Half,reports,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,1948
481,SBNY,Signature Bank,Common stocks,Mid cap,Financials,"$8,369,722,309 ",1.61%,0,0,0,Analyze,Signature Bank,reports,Regional Banks,"New York City, New York",12/20/21,1288784,2001
482,DISH,Dish Network Corp Class A,Common stocks,Mid cap,Communication Services,"$8,273,709,611 ",0.00%,0,0,0,Analyze,Dish Network,reports,Cable & Satellite,"Meridian, Colorado",3/13/17,1001082,1980
483,WHR,Whirlpool Corp,Common stocks,Mid cap,Consumer Discretionary,"$8,118,364,313 ",4.62%,0,0,0,Analyze,Whirlpool Corporation,reports,Household Appliances,"Benton Harbor, Michigan",,106640,1911
484,ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$7,778,627,030 ",3.01%,0,0,0,Analyze,Zions Bancorporation,reports,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,1873
485,RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,718,786,400 ",2.50%,0,0,0,Analyze,Ralph Lauren Corporation,reports,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/07,1037038,1967
486,PNR,Pentair,Common stocks,Mid cap,Industrials,"$7,672,203,231 ",1.79%,0,0,0,Analyze,Pentair,reports,Industrial Machinery,"Worsley, United Kingdom",10/1/12,77360,1966
487,SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$7,639,363,737 ",1.51%,0,0,0,Analyze,Sealed Air,reports,Paper Packaging,"Charlotte, North Carolina",3/4/57,1012100,1960
488,NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$7,003,603,182 ",0.00%,0,0,0,Analyze,Norwegian Cruise Line Holdings,reports,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,2011 (1966)
489,DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$6,773,120,165 ",0.00%,0,0,0,Analyze,DXC Technology,reports,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,1688568,2017
490,AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$6,762,951,226 ",2.13%,0,0,0,Analyze,Assurant,reports,Multi-line Insurance,"New York City, New York",4/10/07,1267238,1892
491,XRAY,Dentsply Sirona Inc,Common stocks,Mid cap,Health Care,"$6,756,829,696 ",1.53%,0,0,0,Analyze,Dentsply Sirona,reports,Health Care Supplies,"Charlotte, North Carolina",11/14/08,818479,2016 (1969)
492,OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$6,720,307,686 ",4.13%,0,0,0,Analyze,Organon & Co.,reports,Pharmaceuticals,"Jersey City, New Jersey",6/3/21,1821825,2021
493,DVA,Davita Inc,Common stocks,Mid cap,Health Care,"$6,598,023,000 ",0.00%,0,0,0,Analyze,DaVita Inc.,reports,Health Care Facilities,"Denver, Colorado",7/31/08,927066,1979
494,LNC,Lincoln National Corp,Common stocks,Mid cap,Financials,"$6,553,714,921 ",4.59%,0,0,0,Analyze,Lincoln Financial,reports,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558,1905
495,MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,537,651,893 ",0.00%,0,0,0,Analyze,Mohawk Industries,reports,Home Furnishings,"Calhoun, Georgia",12/23/13,851968,1878
496,GNRC,Generac Holdings Inc,Common stocks,Mid cap,Industrials,"$6,531,411,482 ",0.00%,0,0,0,Analyze,Generac,reports,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/21,1474735,1959
497,ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$6,013,381,568 ",0.00%,0,0,0,Analyze,Alaska Air Group,reports,Airlines,"SeaTac, Washington",5/13/16,766421,1985
498,LUMN,"CenturyLink, Inc.",Common stocks,Mid cap,Communication Services,"$5,783,318,092 ",13.12%,0,0,0,Analyze,Lumen Technologies,reports,Alternative Carriers,"Monroe, Louisiana",3/25/99,18926,1983 (1877)
499,NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,310,624,000 ",7.01%,0,0,0,Analyze,Newell Brands,reports,Housewares & Specialties,"Atlanta, Georgia",4/30/89,814453,1903
500,VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$4,753,217,430 ",8.30%,0,0,0,Analyze,Vornado Realty Trust,reports,Office REITs,"New York City, New York",2005,899689,1982
501,TECH,Bio-Techne Corp,Common stocks,Mid cap,Health Care,"$3,390,934,401 ",0.37%,0,0,0,Analyze,Bio-Techne,reports,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/21,842023,1976
502,TAP,Molson Coors Brewing Class B,Common stocks,Small cap,Consumer Staples,"$797,021,241 ",2.74%,0,0,0,Analyze,Molson Coors Beverage Company,reports,Brewers,"Chicago, Illinois",6/30/76,24545,"2005 (Molson 1786, Coors 1873)"